Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
59202,0,0.9999999,63y,4,0.5449654110000001,3902.0,6,1,2,1,0.0
122913,0,0.007644915,53y,0,4519.0,0.0,13,0,2,0,0.0
111937,0,0.863713275,30y,0,1.33735303,3316.0,14,0,2,0,0.0
113491,0,0.058220355,41y,0,0.2893627569999999,8065.0,9,0,1,0,2.0
116902,0,0.015711063,50y,0,2784.0,,16,0,2,0,0.0
144758,0,0.225936503,60y,0,0.443516132,11250.0,15,0,2,1,0.0
85881,0,0.9999999,56y,0,1.880085653,1400.0,9,0,2,0,0.0
35093,0,0.011918758,75y,0,0.145609889,5500.0,9,0,1,0,0.0
52841,0,0.587950391,45y,0,0.177411614,6250.0,11,0,0,0,0.0
15631,0,0.306938612,27y,0,0.239904038,2500.0,6,0,0,0,0.0
78896,0,0.0769021,58y,0,1586.0,,2,0,1,0,
71183,0,0.339197782,55y,0,0.320266624,6300.0,10,0,1,0,3.0
132618,0,0.9999999,38y,0,0.001042753,3835.0,0,0,0,0,1.0
148064,0,0.6999654340000001,33y,0,0.36185855,6800.0,6,0,1,0,1.0
36485,0,0.226745478,45y,0,0.180361545,4867.0,5,0,0,1,5.0
7382,0,0.020086607,76y,0,0.010309278,3200.0,11,0,0,0,0.0
3869,0,0.013499518,74y,0,0.121068249,6739.0,8,0,1,0,0.0
30313,0,0.0,49y,0,90.0,,8,0,0,0,0.0
7335,1,0.6507179820000001,41y,0,0.928714191,1500.0,13,0,2,0,0.0
127209,0,0.226774186,45y,0,0.493930636,10379.0,16,0,4,0,3.0
30245,0,0.084146002,40y,0,1373.5,1.0,8,0,1,0,2.0
13150,0,0.0,60y,0,0.169280878,11666.0,6,0,1,0,0.0
2657,0,0.0574186259999999,75y,1,0.341776371,6000.0,9,0,1,0,1.0
136206,0,0.151233951,63y,1,0.064693197,5100.0,7,0,0,0,1.0
77263,0,0.7182077579999999,39y,0,0.195978789,4525.0,6,0,0,0,0.0
140919,0,0.0068144719999999,52y,0,1392.0,,5,0,1,0,0.0
122248,0,0.038830097,76y,0,0.107763899,4082.0,5,0,1,0,1.0
44439,0,0.011042768,72y,0,8.0,,5,0,0,0,0.0
9072,0,0.326915898,40y,0,3252.0,,16,0,2,0,2.0
28253,1,0.0,53y,2,0.377145372,6816.0,9,0,1,3,2.0
101807,0,0.010150332,34y,0,0.703074231,4000.0,11,0,1,0,2.0
76046,0,0.190386058,55y,0,0.323186313,9000.0,9,0,2,0,0.0
62169,0,0.101380897,63y,0,0.113235846,8000.0,10,0,0,0,0.0
17625,0,0.9999999,57y,0,0.3431635389999999,1118.0,1,1,0,0,0.0
120966,0,0.0138663589999999,67y,0,679.0,,4,0,1,0,0.0
93266,0,0.434233886,54y,2,2936.0,,15,0,2,0,0.0
1282,0,0.760016551,48y,2,0.917543584,6366.0,10,0,1,0,1.0
65679,0,0.084790363,40y,0,0.446100252,5166.0,11,0,2,0,2.0
67201,0,0.02563718,60y,0,0.551876742,6100.0,10,0,2,0,2.0
34343,0,1.001817851,32y,0,0.090410959,1824.0,2,0,0,0,0.0
93740,0,0.938308334,37y,0,0.266497742,9076.0,6,0,0,0,2.0
89050,0,4086.0,34y,0,122.0,,1,0,0,0,
90445,0,0.004648488,56y,0,0.1942178719999999,11033.0,12,0,3,0,2.0
11427,0,0.011536233,64y,0,4272.0,,10,0,2,0,0.0
10599,0,0.0,31y,0,0.259713701,4400.0,6,0,0,0,0.0
128500,0,0.421713346,48y,0,0.469419556,7700.0,17,0,1,0,2.0
132300,0,0.24629891,63y,0,3299.0,,16,0,3,0,0.0
15910,0,0.002533222,63y,0,0.113221695,4000.0,13,0,1,0,0.0
25474,0,0.545961766,61y,0,3347.0,,23,0,1,0,0.0
31806,0,0.014029878,75y,0,0.195530726,3400.0,14,0,1,0,0.0
141904,0,0.074018933,34y,0,0.464757,6213.0,16,0,1,0,3.0
31459,0,0.005974467,32y,0,0.386432299,3640.0,4,0,1,0,0.0
112496,0,0.023142256,73y,0,0.289426523,2231.0,9,0,1,0,1.0
118119,0,0.096028964,32y,0,0.061195104,8333.0,6,0,0,0,2.0
3184,0,0.957529964,30y,1,0.217264082,4100.0,4,1,0,0,0.0
98635,1,1.295352324,28y,5,0.285211268,4259.0,12,0,0,2,2.0
133804,0,0.034186432,64y,0,0.0106631119999999,3000.0,5,0,0,0,0.0
13103,0,0.031510123,65y,0,34.0,,9,0,0,0,0.0
33399,0,0.437810945,25y,0,0.000908678,2200.0,1,0,0,0,0.0
10824,0,0.063118715,63y,0,0.840889502,5800.0,16,0,1,0,1.0
86771,0,0.005228191,75y,0,0.374643875,701.0,8,0,0,0,0.0
22374,0,0.033284822,33y,0,21.0,,2,0,0,0,0.0
115223,0,0.028295097,52y,1,0.41098027,12822.0,18,0,4,0,0.0
114683,0,0.09177997,52y,0,0.189902125,8377.0,9,0,1,0,4.0
25158,0,0.001982266,59y,0,0.316669398,6100.0,5,0,1,0,0.0
78795,1,0.9999999,40y,0,0.03630363,4544.0,1,1,0,0,2.0
95485,0,0.58702889,28y,0,0.691436188,3000.0,9,0,1,0,0.0
9878,0,0.20027688,77y,0,0.043304464,1500.0,2,0,0,0,0.0
43045,0,0.0679405159999999,74y,1,0.476904619,5000.0,12,0,3,0,0.0
34523,0,0.914363016,50y,1,0.316442606,2900.0,8,1,0,1,2.0
46397,0,0.785204227,64y,0,0.25224925,3000.0,6,0,0,0,0.0
79735,0,0.304483674,40y,0,2171.0,,5,0,2,0,2.0
18654,0,0.082783443,49y,0,1736.0,,6,0,1,0,0.0
130466,1,0.9999999,41y,1,0.389276982,5725.0,5,0,2,0,2.0
80403,0,0.000459991,66y,0,0.182492806,6602.0,5,0,1,0,0.0
107796,0,0.363990243,68y,0,0.330950397,22800.0,21,0,3,0,1.0
15950,0,0.033902219,77y,0,0.043258604,9500.0,7,0,0,0,0.0
64498,0,0.364734419,30y,0,0.336993563,2640.0,15,0,1,0,0.0
123608,0,0.003722259,38y,0,0.347958215,5264.0,12,0,1,0,0.0
15854,0,0.349408084,46y,0,0.694869625,13000.0,9,0,4,0,0.0
37751,0,0.972342552,55y,1,0.291200647,7420.0,7,0,2,0,0.0
71463,0,0.0,25y,0,0.165081142,1786.0,5,0,0,0,0.0
90280,0,0.260852485,33y,0,0.36573362,3250.0,15,0,0,0,0.0
80559,0,0.9999999,26y,0,0.050526885,3700.0,2,0,0,0,0.0
5136,0,0.006894872,78y,0,1339.0,,16,0,0,0,0.0
3856,0,0.0234353889999999,65y,0,0.002039837,8333.0,5,0,0,0,0.0
58065,0,0.9999999,55y,0,0.395661872,13000.0,4,0,3,0,1.0
64505,0,0.851185723,48y,1,0.297106563,4250.0,7,0,1,0,0.0
101403,0,0.025934653,49y,0,0.229888432,3405.0,13,0,0,0,3.0
75017,0,0.377501132,36y,1,0.602209945,7963.0,13,0,2,0,3.0
36754,0,0.0,26y,0,67.0,,2,0,0,1,0.0
24294,0,0.142444145,58y,0,1428.0,,12,0,1,0,0.0
94678,0,0.170032798,39y,0,0.3687626189999999,6933.0,10,0,1,0,3.0
98197,0,0.0031578,47y,0,1128.0,,6,0,1,0,2.0
98894,0,0.08485132,60y,0,1391.0,,19,0,1,0,0.0
98431,0,0.075748106,69y,0,0.295489624,5830.0,7,0,2,0,0.0
24676,0,0.0,53y,0,0.196554234,4120.0,2,0,1,0,3.0
68228,0,0.524591856,54y,0,0.43871061,6917.0,7,0,1,0,1.0
94100,0,0.9999999,45y,1,79.0,,1,0,0,0,0.0
48784,0,0.033854745,52y,0,0.270192201,9000.0,2,0,2,0,3.0
12161,0,0.688784761,39y,1,1.189361441,8158.0,6,0,1,0,2.0
84613,0,0.286942611,60y,0,43.0,,2,0,0,0,0.0
132829,0,0.508840989,49y,0,0.750835189,7183.0,13,0,3,0,0.0
1392,0,0.2382356639999999,70y,0,1252.0,,11,0,1,0,0.0
63381,0,0.6888309429999999,56y,2,0.866957105,2983.0,4,0,1,0,0.0
54649,1,0.601297037,47y,0,0.312319538,6233.0,8,0,1,0,2.0
49028,0,0.000812018,76y,0,3.0,,9,0,0,0,
82575,0,0.019752365,63y,0,0.050376155,10500.0,9,0,0,0,0.0
133773,0,0.840083447,41y,0,0.236101853,7500.0,7,0,0,0,2.0
36437,0,0.422974785,37y,0,1730.0,0.0,6,0,1,0,0.0
52286,0,0.0,30y,0,0.482910951,4300.0,16,0,1,0,3.0
54000,0,0.154456625,73y,0,2.02502317,2157.0,13,0,3,0,1.0
91751,0,0.050736854,59y,0,0.50238046,4830.0,19,0,1,0,1.0
61171,0,0.541807274,45y,0,0.225478366,5800.0,6,0,1,0,2.0
135034,0,0.0309270999999999,61y,2,2.70914311,9055.0,12,0,2,0,0.0
29063,0,0.002894845,88y,0,0.001999429,3500.0,11,0,0,0,0.0
64927,0,0.0,48y,0,0.295425974,10340.0,7,0,2,0,0.0
49582,0,0.149137734,48y,0,0.313426655,12072.0,14,0,1,0,1.0
65851,0,0.055813749,54y,0,0.4355018429999999,11666.0,19,0,2,0,1.0
1207,0,0.0282007339999999,56y,0,0.084599116,5200.0,10,0,1,0,0.0
14589,0,0.490883332,64y,0,1.819556806,2842.0,13,0,2,0,0.0
65537,0,0.9999999,42y,0,0.093962415,2500.0,1,1,0,1,0.0
4155,0,0.5860798629999999,48y,0,0.1047120419999999,2864.0,5,0,0,0,3.0
12050,0,0.242005048,77y,0,0.074515648,3354.0,4,0,0,0,0.0
28605,0,0.0,46y,0,2345.0,,10,0,1,0,3.0
93619,0,0.0131597019999999,79y,0,0.103116944,4266.0,12,0,1,0,0.0
58029,0,1.372093023,48y,1,12.0,,2,1,0,1,0.0
115826,0,0.9999999,65y,0,0.105754277,4500.0,1,0,0,0,0.0
107022,0,0.005991822,77y,0,0.408054343,6182.0,19,0,2,0,1.0
130870,0,0.369181541,48y,0,0.283908403,9650.0,6,0,2,0,3.0
38738,1,0.314563258,45y,0,1.142857143,4500.0,16,0,5,1,0.0
115524,0,0.275279002,54y,0,0.41866306,5175.0,13,0,1,0,2.0
128814,0,0.76055263,73y,2,0.3684631539999999,10000.0,17,0,3,0,0.0
53693,0,0.157412315,43y,0,0.3387011889999999,9500.0,14,0,2,0,0.0
103841,0,0.014138096,52y,0,1314.0,,12,0,2,0,0.0
57920,0,0.0,49y,0,4310.0,,4,0,1,0,0.0
6393,0,0.502441033,44y,0,0.8298073890000001,3166.0,5,0,2,0,1.0
41177,0,0.5962082879999999,56y,2,0.8950187470000001,5600.0,12,0,1,0,0.0
60945,0,0.123737244,41y,2,0.4905207579999999,8333.0,9,0,2,0,2.0
118262,0,0.9999999,25y,0,0.100529101,1700.0,4,0,0,0,0.0
66593,0,0.035660723,65y,0,1181.0,,3,0,1,0,0.0
89400,0,0.9999999,23y,0,0.0,,0,0,0,0,
40878,0,0.0,65y,0,0.45769487,1500.0,6,0,1,0,0.0
38477,0,0.004338105,38y,0,3398.0,,12,0,1,0,0.0
36509,0,0.9999999,55y,0,0.0,,0,0,0,0,1.0
43980,1,0.9999999,48y,98,0.0,1200.0,0,98,0,98,0.0
43172,0,0.0,46y,0,0.0,3706.0,5,0,0,0,0.0
54639,0,0.1267937519999999,76y,0,0.041227394,11666.0,6,0,1,0,1.0
66739,0,0.0,95y,0,0.0,,2,0,0,1,0.0
82830,0,0.169337264,26y,0,0.008912249,4375.0,3,0,0,0,0.0
117941,0,0.614625149,45y,1,0.6565514,4250.0,13,0,1,0,0.0
17602,0,0.000641485,62y,0,2771.0,,8,0,2,0,0.0
44296,0,0.5082295029999999,40y,0,0.226260791,2200.0,3,0,0,0,0.0
84779,0,0.032767764,56y,0,1074.0,,7,0,1,0,
126676,0,0.7394941509999999,43y,0,2.162335066,2500.0,14,0,6,1,0.0
43498,0,0.965006999,48y,1,0.3484820939999999,5500.0,5,0,2,2,1.0
60095,0,0.050747463,66y,0,1098.0,,8,0,1,0,0.0
855,0,0.009654537,73y,0,0.122830656,18553.0,6,0,1,0,1.0
86728,0,0.109505984,56y,0,0.10466761,2120.0,12,0,0,0,0.0
113938,0,0.12744437,30y,0,0.391101346,3640.0,6,0,1,0,0.0
81401,0,0.015678125,43y,0,0.17299308,25000.0,16,0,1,0,3.0
138460,1,0.595641733,40y,0,0.072909011,6802.0,8,0,0,1,5.0
3205,0,0.013563189,30y,0,0.005175601,5409.0,8,0,0,0,0.0
50421,0,0.925074925,78y,0,0.235947567,4500.0,3,0,0,1,1.0
90525,1,0.298783935,45y,0,0.891725165,4700.0,26,0,2,1,0.0
98137,0,0.027095317,78y,0,237.0,,3,0,1,0,
48680,0,0.0,43y,0,0.831765557,8291.0,8,0,2,0,2.0
10917,0,0.5436004329999999,60y,0,6285.0,,13,0,3,0,0.0
59179,0,0.0,41y,0,0.2614564239999999,6000.0,8,0,2,0,0.0
18615,0,0.091288359,49y,0,0.213543055,3750.0,14,0,1,0,2.0
139186,0,0.044012692,45y,0,0.313723856,12000.0,21,0,1,0,0.0
121572,0,1.389805097,44y,5,126.0,,2,3,0,1,0.0
143009,1,0.073525062,45y,0,0.485348803,13445.0,8,0,4,0,1.0
102272,0,0.9999999,30y,0,0.007197121,2500.0,0,0,0,0,0.0
144106,0,0.071397213,52y,0,6964.0,,6,0,2,0,0.0
4287,0,0.16590155,40y,0,0.698787805,8166.0,5,0,2,0,1.0
49825,0,0.369528461,38y,0,0.433391652,4000.0,13,0,2,0,3.0
102466,0,0.626163652,43y,0,0.872971066,2833.0,13,0,0,0,0.0
87354,0,0.59604032,39y,0,0.594181164,3333.0,11,0,1,0,1.0
145026,0,0.927279338,45y,0,0.5142536839999999,6243.0,10,0,1,0,0.0
100450,0,0.049914087,68y,0,0.116113744,19833.0,13,0,1,0,1.0
91240,1,0.9999999,32y,0,0.0,,0,0,0,0,0.0
15871,0,0.014012542,75y,0,992.0,,6,0,1,0,0.0
91582,0,0.0075818119999999,76y,0,0.004581424,2400.0,4,0,0,0,0.0
45637,0,1.003633212,45y,0,0.351431101,10166.0,8,0,2,0,2.0
22480,0,0.138146546,26y,0,0.4484860029999999,5250.0,12,0,2,0,0.0
118290,0,0.9999999,53y,0,0.189401514,7000.0,4,0,1,0,1.0
78017,0,0.034635576,71y,0,45.0,,5,0,0,0,0.0
126873,0,0.076651426,61y,0,0.05435814,7376.0,7,0,0,0,0.0
145197,0,0.9999999,50y,0,0.148616221,6250.0,11,0,1,0,0.0
42853,0,0.078510744,61y,0,0.07768094,5277.0,11,0,1,0,0.0
134756,1,0.29403892,39y,0,2828.0,,13,0,1,0,0.0
77081,0,0.040547586,71y,0,5446.0,,14,0,3,0,0.0
99670,0,0.9999999,50y,0,1893.0,,5,0,2,0,2.0
38166,0,0.0494429179999999,84y,0,0.00939812,5000.0,4,0,0,0,1.0
34642,0,0.047932879,63y,0,0.267287132,13000.0,15,0,2,0,2.0
1300,0,0.623875225,41y,0,0.037185126,2500.0,2,0,0,0,1.0
112277,0,0.079857414,42y,0,0.264773523,10000.0,6,0,1,0,1.0
130361,0,0.7568020190000001,37y,0,0.394218942,3251.0,5,0,0,0,0.0
121583,0,0.285742024,75y,0,0.960485599,4200.0,10,0,1,0,0.0
27243,0,0.094795861,85y,0,178.0,,5,0,0,0,
120476,0,0.08707836,39y,0,0.317987034,9100.0,9,0,2,0,3.0
53580,0,0.9999999,47y,0,1200.5,1.0,2,0,1,0,1.0
136370,0,0.003278207,95y,0,22.0,,10,0,1,0,0.0
125387,0,0.0,50y,0,0.287443754,9333.0,13,0,2,0,2.0
121400,0,0.986773187,50y,2,0.2219704039999999,7500.0,11,0,0,1,0.0
99294,0,0.360353364,49y,0,0.140407922,6765.0,5,0,1,0,1.0
