laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Touch,IPS,Resolucion,Reso_ancho,Reso_alto,fab_CPU,tipo_CPU,CPU_GHz,uni_memo,tipo_memo,memo_aux,fab_GPU,fab_OpSys_code,ppi,TypeName_Code,Resolucion_Code,Company_Code,fab_CPU_Code,fab_GPU_Code,tipo_memo_Code,tipo_CPU_Code
705,Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9GHz,4.0,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,1.2,669.0,1,0,1920x1080,1920,1080,Intel,Intel Core M,0.09,64,Flash_Storage,0,Intel,0,176.23257360658386,1,1,1,1,1,1,1
967,Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD 1920x1080,Intel Core M M7-6Y75 1.2GHz,8.0,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,1.2,1159.0,0,0,1920x1080,1920,1080,Intel,Intel Core i7,0.12,64,Flash_Storage,0,Intel,0,176.23257360658386,1,1,1,1,1,1,2
1103,HP,Chromebook 13,Notebook,13.3,Quad HD+ 3200x1800,Intel Pentium Dual Core 4405Y 1.5GHz,4.0,32GB Flash Storage,Intel HD Graphics 515,Chrome OS,1.29,615.0,0,0,3200x1800,3200,1800,Intel,Intel Core i5,0.15,32,Flash_Storage,0,Intel,0,276.053530085501,2,2,2,1,1,1,3
685,HP,Chromebook X360,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,8.0,64GB Flash Storage,Intel HD Graphics 500,Chrome OS,1.4,495.0,1,0,1366x768,1366,768,Intel,Intel Core i3,0.11000000000000001,64,Flash_Storage,0,Intel,0,135.0942111925629,1,3,2,1,1,1,4
1233,Acer,C740-C9QX (3205U/2GB/32GB/Chrome,Netbook,11.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2.0,32GB SSD,Intel HD Graphics,Chrome OS,1.3,174.0,0,0,1366x768,1366,768,Intel,Intel Core i7,0.15,32,SSD,0,Intel,0,135.0942111925629,3,3,3,1,1,2,2
919,Acer,Chromebook CB5-571-C1DZ,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core 3205U 1.5GHz,4.0,16GB Flash Storage,Intel HD Graphics,Chrome OS,2.2,359.0,0,1,1920x1080,1920,1080,Intel,Intel Core i7,0.15,16,Flash_Storage,0,Intel,0,141.21199808219862,2,1,3,1,1,1,2
753,Acer,Chromebook 14,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.68,330.0,0,0,1366x768,1366,768,Intel,Intel Core i5,0.16,32,Flash_Storage,0,Intel,0,111.93520355955211,2,3,3,1,1,1,3
963,Acer,Chromebook 14,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.68,349.0,0,0,1366x768,1366,768,Intel,Intel Core i5,0.16,32,Flash_Storage,0,Intel,0,111.93520355955211,2,3,3,1,1,1,3
899,Acer,Chromebook C731-C78G,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.25,297.0,0,1,1366x768,1366,768,Intel,Intel Core i5,0.16,32,Flash_Storage,0,Intel,0,135.0942111925629,3,3,3,1,1,1,3
837,Acer,Chromebook 11,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.35,355.0,0,1,1366x768,1366,768,Intel,Intel Core i5,0.16,32,Flash_Storage,0,Intel,0,135.0942111925629,3,3,3,1,1,1,3
973,Acer,Chromebook C738T-C2EJ,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.25,389.0,1,1,1366x768,1366,768,Intel,Intel Core i5,0.16,32,Flash_Storage,0,Intel,0,135.0942111925629,1,3,3,1,1,1,3
626,Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Quad Core N3160 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.25,379.0,1,1,1366x768,1366,768,Intel,Intel Core i7,0.16,32,Flash_Storage,0,Intel,0,135.0942111925629,1,3,3,1,1,1,2
